CsiNumber,Symbol,Name,Exchange,IsActive,StartDate,EndDate,Sector,Industry,ConversionFactor,SwitchCfDate,PreSwitchCf,LastVolume,Type,ChildExchange,Currency
3208,SPY,"SPDR S&P 500 ETF",AMEX,1,1993-01-29,2015-09-17,,,2,2001-01-29,-4,255924400,Exchange-Traded Fund,NYSE ARCA,USD
3754,XLB,"Materials Select Sector SPDR Fund",AMEX,1,1998-12-22,2015-09-17,,,2,2001-01-29,-4,9104600,Exchange-Traded Fund,NYSE ARCA,USD
3755,XLV,"Health Care Select Sector SPDR Fund",AMEX,1,1998-12-22,2015-09-17,,,2,2001-01-29,-4,19136100,Exchange-Traded Fund,NYSE ARCA,USD
3756,XLP,"Consumer Staples Select Sector SPDR Fund",AMEX,1,1998-12-22,2015-09-17,,,2,2001-01-29,-4,13023900,Exchange-Traded Fund,NYSE ARCA,USD
3757,XLY,"Consumer Discretionary Select Sector SPD",AMEX,1,1998-12-22,2015-09-17,,,2,2001-01-29,-4,10088100,Exchange-Traded Fund,NYSE ARCA,USD
3758,XLE,"Energy Select Sector SPDR Fund",AMEX,1,1998-12-22,2015-09-17,,,2,2001-01-29,-4,19752500,Exchange-Traded Fund,NYSE ARCA,USD
3759,XLF,"Financial Select Sector SPDR Fund",AMEX,1,1998-12-22,2015-09-17,,,2,2001-01-29,-4,59563700,Exchange-Traded Fund,NYSE ARCA,USD
3760,XLI,"Industrial Select Sector SPDR Fund",AMEX,1,1998-12-22,2015-09-17,,,2,2001-01-29,-4,18684700,Exchange-Traded Fund,NYSE ARCA,USD
3761,XLK,"Technology Select Sector SPDR Fund",AMEX,1,1998-12-22,2015-09-17,,,2,2001-01-29,-4,16720600,Exchange-Traded Fund,NYSE ARCA,USD
3762,XLU,"Utilities Select Sector SPDR Fund",AMEX,1,1998-12-22,2015-09-17,,,2,2001-01-29,-4,22587200,Exchange-Traded Fund,NYSE ARCA,USD
3763,THRK,"Spdr Russell Ecl",AMEX,1,2000-10-10,2015-09-17,,,2,2001-01-29,-4,3900,Exchange-Traded Fund,NYSE ARCA,USD
6519,RKH,"Mkt Vectr Bk Bro",NYSE,0,2000-06-23,2014-12-12,,,2,2001-01-29,-4,,Exchange-Traded Fund,,USD
13059,MDY,"S&P Midcap Dep Recpts",AMEX,1,1995-08-18,2015-09-17,,,2,2001-01-29,-4,1141000,Exchange-Traded Fund,NYSE ARCA,USD
13166,EWA,"Ishares MSCI Australia ETF",NYSE,1,1996-04-01,2015-09-17,,,2,2001-01-29,-4,5531500,Exchange-Traded Fund,NYSE ARCA,USD
13167,EWC,"Ishares MSCI Canada ETF",NYSE,1,1996-04-01,2015-09-17,,,2,2001-01-29,-4,2691700,Exchange-Traded Fund,NYSE ARCA,USD
13168,EWD,"Ishares MSCI Sweden ETF",NYSE,1,1996-04-01,2015-09-17,,,2,2001-01-29,-4,1261900,Exchange-Traded Fund,NYSE ARCA,USD
13169,EWG,"Ishares MSCI Germany ETF",NYSE,1,1996-04-01,2015-09-17,,,2,2001-01-29,-4,10518000,Exchange-Traded Fund,NYSE ARCA,USD
13170,EWH,"Ishares MSCI Hong Kong ETF",NYSE,1,1996-04-01,2015-09-17,,,2,2001-01-29,-4,3903600,Exchange-Traded Fund,NYSE ARCA,USD
13171,EWI,"Ishares MSCI Italy Capped ETF",NYSE,1,1996-04-01,2015-09-17,,,2,2001-01-29,-4,2861100,Exchange-Traded Fund,NYSE ARCA,USD
13172,EWJ,"Ishares MSCI Japan Index",NYSE,1,1996-04-01,2015-09-17,,,2,2001-01-29,-4,70926100,Exchange-Traded Fund,NYSE ARCA,USD
13173,EWK,"Ishares MSCI Belgium Capped ETF",NYSE,1,1996-04-01,2015-09-17,,,2,2001-01-29,-4,130200,Exchange-Traded Fund,NYSE ARCA,USD
13174,EWL,"Ishares MSCI Switzerland Cppd Indx Fd",NYSE,1,1996-04-01,2015-09-17,,,2,2001-01-29,-4,971800,Exchange-Traded Fund,NYSE ARCA,USD
